Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-21;Mujer;Centro;Entre 26 y 35 años;Española;2824;Profesionales del trabajo y la educación social;2156;Terapeutas ocupacionales;3713;Profesionales de apoyo al trabajo y a la educación social
ene-21;Mujer;Vicálvaro;Menor de 25 años;Española;3613;Asistentes de dirección y administrativos;2911;Archivistas y conservadores de museos;5220;Vendedores en tiendas y almacenes
ene-21;Hombre;Usera;Menor de 25 años;Española;9811;Peones del transporte de mercancías y descargadores;8333;Operadores de carretillas elevadoras;9443;Barrenderos y afines
ene-21;Mujer;Puente De Vallecas;Entre 56 y 65 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;3613;Asistentes de dirección y administrativos;4412;Recepcionistas (excepto de hoteles)
ene-21;Mujer;Tetuán;Entre 46 y 55 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4301;Grabadores de datos;3613;Asistentes de dirección y administrativos
ene-21;Mujer;Latina;Entre 26 y 35 años;Española;4112;Empleados de control de personal y nóminas;;;;
ene-21;Mujer;Latina;Entre 46 y 55 años;Extracomunitaria;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;2652;Profesionales de relaciones públicas;5220;Vendedores en tiendas y almacenes
ene-21;Hombre;Ciudad Lineal;Entre 46 y 55 años;Española;;;;;;
ene-21;Hombre;San Blas;Menor de 25 años;Española;9811;Peones del transporte de mercancías y descargadores;9443;Barrenderos y afines;;
ene-21;Mujer;Latina;Entre 26 y 35 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;4424;Teleoperadores;5710;Trabajadores de los cuidados personales a domicilio
ene-21;Hombre;Centro;Entre 36 y 45 años;Extracomunitaria;5120;Camareros asalariados;9811;Peones del transporte de mercancías y descargadores;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados
ene-21;Mujer;Otro Municipio;Entre 46 y 55 años;Española;;;;;;
ene-21;Mujer;Puente De Vallecas;Entre 36 y 45 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina;5710;Trabajadores de los cuidados personales a domicilio
ene-21;Mujer;Otro Municipio;Entre 36 y 45 años;Extracomunitaria;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5722;Cuidadores de niños en domicilios
ene-21;Mujer;Arganzuela;Entre 56 y 65 años;Española;;;;;;
ene-21;Mujer;Puente De Vallecas;Entre 46 y 55 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina;5622;Técnicos de emergencias sanitarias
ene-21;Mujer;Usera;Entre 46 y 55 años;Extracomunitaria;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5722;Cuidadores de niños en domicilios
ene-21;Mujer;Retiro;Entre 46 y 55 años;Española;2625;Especialistas en formación de personal;;;;
ene-21;Hombre;Otro Municipio;Menor de 25 años;Española;7292;Instaladores de material aislante térmico y de insonorización;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;9811;Peones del transporte de mercancías y descargadores
ene-21;Mujer;Puente De Vallecas;Entre 26 y 35 años;Extracomunitaria;5500;Cajeros y taquilleros (excepto bancos);5220;Vendedores en tiendas y almacenes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-21;Hombre;Latina;Entre 36 y 45 años;Española;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;5833;Conserjes de edificios;3713;Profesionales de apoyo al trabajo y a la educación social
ene-21;Mujer;Villaverde;Entre 36 y 45 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos;9811;Peones del transporte de mercancías y descargadores
ene-21;Hombre;Arganzuela;Entre 46 y 55 años;Española;8412;Conductores asalariados de automóviles, taxis y furgonetas;8412;Conductores asalariados de automóviles, taxis y furgonetas;9310;Ayudantes de cocina
ene-21;Mujer;Carabanchel;Entre 26 y 35 años;Extracomunitaria;5120;Camareros asalariados;5500;Cajeros y taquilleros (excepto bancos);4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-21;Mujer;Villaverde;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5722;Cuidadores de niños en domicilios;9310;Ayudantes de cocina
ene-21;Hombre;Vicálvaro;Menor de 25 años;Extracomunitaria;9310;Ayudantes de cocina;9820;Reponedores;9811;Peones del transporte de mercancías y descargadores
ene-21;Hombre;Puente De Vallecas;Entre 26 y 35 años;Extracomunitaria;5833;Conserjes de edificios;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5120;Camareros asalariados
ene-21;Mujer;Puente De Vallecas;Entre 36 y 45 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;3510;Agentes y representantes comerciales;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-21;Mujer;Fuencarral-el Pardo;Entre 36 y 45 años;Española;2422;Ingenieros agrónomos;5220;Vendedores en tiendas y almacenes;3142;Técnicos agropecuarios
ene-21;Hombre;Otro Municipio;Entre 56 y 65 años;Española;5833;Conserjes de edificios;8412;Conductores asalariados de automóviles, taxis y furgonetas;8412;Conductores asalariados de automóviles, taxis y furgonetas
