,Fecha de Inscripción,Género,Distrito,Tramos de Edad,Nacionalidad,Objetivo Profesional 1
7157,may-21,Mujer,Otro Municipio,Entre 36 y 45 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
7173,may-21,Mujer,Ciudad Lineal,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
7176,may-21,Hombre,Chamberí,Entre 36 y 45 años,Extracomunitaria,Diseñadores gráficos y multimedia
7177,may-21,Hombre,Puente De Vallecas,Entre 26 y 35 años,Extracomunitaria,Peluqueros
7178,may-21,Mujer,Fuencarral-el Pardo,Entre 46 y 55 años,Española,Ingenieros técnicos forestales y del medio natural
7184,may-21,Hombre,Puente De Vallecas,Entre 46 y 55 años,Española,Vendedores en tiendas y almacenes
7185,may-21,Mujer,Moratalaz,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
7187,may-21,Hombre,Fuencarral-el Pardo,Menor de 25 años,Extracomunitaria,Peones agropecuarios
7188,may-21,Mujer,Latina,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7190,may-21,Mujer,Puente De Vallecas,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7191,may-21,Hombre,Ciudad Lineal,Menor de 25 años,Española,Ayudantes de cocina
7206,may-21,Hombre,Otro Municipio,Entre 46 y 55 años,Española,Mecánicos y ajustadores de vehículos de motor
7207,may-21,Mujer,Carabanchel,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
7208,may-21,Mujer,Carabanchel,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
7209,may-21,Mujer,Arganzuela,Entre 26 y 35 años,Comunitaria,Ayudantes de cocina
7210,may-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
7212,may-21,Hombre,Villa De Vallecas,Entre 36 y 45 años,Española,Mecánicos y ajustadores de vehículos de motor
7220,may-21,Hombre,Villaverde,Entre 26 y 35 años,Española,Programadores informáticos
7222,may-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Empleados de contabilidad
7229,may-21,Mujer,Latina,Entre 46 y 55 años,Extracomunitaria,Vendedores en tiendas y almacenes
7232,may-21,Mujer,Villa De Vallecas,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
7235,may-21,Mujer,Moratalaz,Menor de 25 años,Española,Recepcionistas de hoteles
7236,may-21,Hombre,Latina,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
7241,may-21,Mujer,Carabanchel,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
7245,may-21,Mujer,Ciudad Lineal,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7247,may-21,Mujer,Retiro,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
7248,may-21,Hombre,Carabanchel,Entre 56 y 65 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
7259,jun-21,Hombre,Otro Municipio,Entre 26 y 35 años,Española,Profesionales de la publicidad y la comercialización
7261,jun-21,Hombre,Centro,Entre 26 y 35 años,Española,Asistentes de dirección y administrativos
7263,jun-21,Hombre,Barajas,Menor de 25 años,Española,Preparadores de comidas rápidas
7276,may-21,Hombre,Centro,Entre 46 y 55 años,Española,Jefes de sección de tiendas y almacenes
7280,may-21,Mujer,Moratalaz,Entre 56 y 65 años,Española,Asistentes de dirección y administrativos
7281,may-21,Hombre,Puente De Vallecas,Entre 36 y 45 años,Española,Trabajadores de procesos de encuadernación
7282,may-21,Mujer,Latina,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7285,may-21,Hombre,Centro,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
7288,may-21,Hombre,Puente De Vallecas,Entre 36 y 45 años,Extracomunitaria,Encofradores y operarios de puesta en obra de hormigón
7294,may-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
7301,may-21,Hombre,Otro Municipio,Menor de 25 años,Española,Bañistas-socorristas
7304,may-21,Mujer,Villaverde,Entre 46 y 55 años,Española,Ingenieros agrónomos
7307,may-21,Mujer,Retiro,Entre 56 y 65 años,Española,Ingenieros agrónomos
7318,may-21,Mujer,Fuencarral-el Pardo,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
7326,may-21,Mujer,Usera,Entre 36 y 45 años,Extracomunitaria,Preparadores de comidas rápidas
7327,may-21,Mujer,Villa De Vallecas,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
7331,may-21,Mujer,Fuencarral-el Pardo,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
7334,may-21,Mujer,Carabanchel,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7335,may-21,Hombre,Carabanchel,Menor de 25 años,Española,Auxiliares de enfermería hospitalaria
7336,may-21,Mujer,Carabanchel,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
7347,may-21,Mujer,Retiro,Entre 46 y 55 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
7349,may-21,Hombre,Ciudad Lineal,Entre 46 y 55 años,Española,Mantenedores de edificios
7352,may-21,Mujer,Retiro,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
7356,may-21,Mujer,Villa De Vallecas,Menor de 25 años,Comunitaria,Recepcionistas de hoteles
7359,may-21,Mujer,Arganzuela,Entre 46 y 55 años,Española,Peluqueros
7360,may-21,Mujer,Moratalaz,Menor de 25 años,Española,"Otros técnicos de las ciencias físicas, químicas, medioambientales y de las ingenierías"
7363,may-21,Hombre,Carabanchel,Entre 46 y 55 años,Española,Técnicos de grabación audiovisual
7365,may-21,Hombre,Salamanca,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
7371,may-21,Mujer,Villa De Vallecas,Entre 26 y 35 años,Española,Técnicos de grabación audiovisual
7399,may-21,Hombre,Otro Municipio,Menor de 25 años,Española,Mantenedores de edificios
7400,may-21,Mujer,Fuencarral-el Pardo,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
7413,may-21,Mujer,Villaverde,Entre 46 y 55 años,Española,Técnicos de emergencias sanitarias
7414,may-21,Mujer,Centro,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
7416,may-21,Mujer,Villaverde,Entre 46 y 55 años,Española,Ayudantes de cocina
7419,may-21,Hombre,Retiro,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
7431,may-21,Mujer,Carabanchel,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
7432,may-21,Mujer,Chamberí,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
7441,may-21,Mujer,Carabanchel,Menor de 25 años,Española,Asistentes de dirección y administrativos
7459,may-21,Mujer,Ciudad Lineal,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
7465,may-21,Hombre,Otro Municipio,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7466,may-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Empleados de contabilidad
7468,may-21,Mujer,Fuencarral-el Pardo,Entre 46 y 55 años,Española,Empleados de contabilidad
7470,may-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
7473,may-21,Mujer,Villaverde,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
7474,may-21,Mujer,Otro Municipio,Entre 26 y 35 años,Española,Empleados de contabilidad
7478,may-21,Mujer,Villa De Vallecas,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7484,may-21,Mujer,Fuencarral-el Pardo,Entre 36 y 45 años,Española,Profesionales de la publicidad y la comercialización
7485,may-21,Hombre,Carabanchel,Entre 36 y 45 años,Española,Técnicos de grabación audiovisual
7488,may-21,Mujer,Vicálvaro,Menor de 25 años,Española,Bañistas-socorristas
7490,may-21,Mujer,Barajas,Entre 36 y 45 años,Española,Profesionales de la publicidad y la comercialización
7502,may-21,Mujer,Puente De Vallecas,Entre 56 y 65 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
7514,may-21,Hombre,Puente De Vallecas,Entre 46 y 55 años,Extracomunitaria,Ayudantes de cocina
7532,may-21,Mujer,Villaverde,Menor de 25 años,Española,Técnicos en laboratorio de diagnóstico clínico
7538,may-21,Mujer,Otro Municipio,Menor de 25 años,Española,Auxiliares de enfermería hospitalaria
7541,may-21,Mujer,Moratalaz,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7543,may-21,Hombre,Otro Municipio,Entre 26 y 35 años,Española,Asistentes de dirección y administrativos
7547,may-21,Hombre,Chamartín,Entre 26 y 35 años,Española,Mantenedores de edificios
7548,may-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Española,Recepcionistas de hoteles
7554,may-21,Hombre,Otro Municipio,Entre 46 y 55 años,Española,Mantenedores de edificios
7559,may-21,Mujer,Carabanchel,Entre 56 y 65 años,Española,Ayudantes de cocina
7567,may-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
7568,may-21,Hombre,Latina,Entre 56 y 65 años,Española,Mantenedores de edificios
7569,may-21,Mujer,Fuencarral-el Pardo,Entre 26 y 35 años,Española,Empleados de agencias de viajes
7570,may-21,Hombre,Fuencarral-el Pardo,Entre 56 y 65 años,Española,Técnicos de grabación audiovisual
7572,may-21,Mujer,Salamanca,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7573,may-21,Mujer,Tetuán,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
7574,may-21,Mujer,Usera,Entre 46 y 55 años,Española,Técnicos de emergencias sanitarias
7582,may-21,Mujer,Puente De Vallecas,Entre 56 y 65 años,Española,Vendedores en tiendas y almacenes
7584,may-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Empleados de contabilidad
7586,may-21,Mujer,Puente De Vallecas,Entre 46 y 55 años,Extracomunitaria,Ayudantes de cocina
7589,may-21,Mujer,Chamberí,Entre 26 y 35 años,Española,"Especialistas en tratamientos de estética, bienestar y afines"
7590,may-21,Mujer,Puente De Vallecas,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7595,may-21,Hombre,Puente De Vallecas,Entre 26 y 35 años,Comunitaria,Ingenieros técnicos en telecomunicaciones
7596,may-21,Mujer,Arganzuela,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
7597,may-21,Mujer,Latina,Entre 56 y 65 años,Española,Empleados de contabilidad
7613,jun-21,Hombre,Puente De Vallecas,Entre 46 y 55 años,Española,Ajustadores y operadores de máquinas-herramienta
7622,jun-21,Mujer,Otro Municipio,Entre 26 y 35 años,Española,Asistentes de dirección y administrativos
7630,may-21,Hombre,Otro Municipio,Menor de 25 años,Española,Bañistas-socorristas
7631,may-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Guías de turismo
7635,may-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Española,Técnicos de emergencias sanitarias
7636,may-21,Mujer,Carabanchel,Entre 46 y 55 años,Española,Auxiliares de enfermería hospitalaria
7637,may-21,Mujer,Villaverde,Entre 46 y 55 años,Extracomunitaria,Técnicos de emergencias sanitarias
7644,may-21,Mujer,Puente De Vallecas,Menor de 25 años,Española,Asistentes de dirección y administrativos
7646,may-21,Hombre,Centro,Entre 36 y 45 años,Española,Programadores informáticos
7648,may-21,Mujer,Vicálvaro,Entre 56 y 65 años,Española,Ayudantes de cocina
7649,may-21,Mujer,Otro Municipio,Menor de 25 años,Española,Bañistas-socorristas
7650,may-21,Mujer,Chamartín,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
7651,may-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Diseñadores gráficos y multimedia
7653,may-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
7658,may-21,Mujer,Chamartín,Entre 56 y 65 años,Española,Empleados de contabilidad
7665,may-21,Mujer,Carabanchel,Entre 26 y 35 años,Española,Auxiliares de enfermería hospitalaria
7668,may-21,Hombre,Tetuán,Menor de 25 años,Extracomunitaria,Ayudantes de cocina
7672,may-21,Hombre,Carabanchel,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
7673,may-21,Mujer,Otro Municipio,Entre 26 y 35 años,Española,Asistentes de dirección y administrativos
7676,may-21,Mujer,Chamberí,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
7677,may-21,Hombre,Moncloa-aravaca,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
7679,may-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
7682,may-21,Hombre,Villaverde,Entre 56 y 65 años,Española,Operadores de telemarketing
7685,may-21,Mujer,Retiro,Entre 56 y 65 años,Extracomunitaria,Vendedores en tiendas y almacenes
7686,may-21,Hombre,Puente De Vallecas,Entre 46 y 55 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
7690,may-21,Mujer,Latina,Entre 46 y 55 años,Española,Auxiliares de enfermería hospitalaria
7692,may-21,Mujer,Ciudad Lineal,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
7698,may-21,Mujer,Arganzuela,Entre 36 y 45 años,Comunitaria,Asistentes de dirección y administrativos
7703,may-21,Mujer,Puente De Vallecas,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
7707,may-21,Mujer,Villa De Vallecas,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7716,may-21,Mujer,Otro Municipio,Entre 36 y 45 años,Extracomunitaria,Empleados de control de personal y nóminas
7718,may-21,Mujer,Villaverde,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
7721,may-21,Mujer,Villaverde,Menor de 25 años,Española,Peones ganaderos
7722,may-21,Hombre,Puente De Vallecas,Entre 36 y 45 años,Española,Ingenieros técnicos en telecomunicaciones
7724,may-21,Hombre,Arganzuela,Entre 26 y 35 años,Española,Técnicos de grabación audiovisual
7729,may-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
7730,may-21,Mujer,Villaverde,Entre 26 y 35 años,Española,Auxiliares de enfermería hospitalaria
7734,may-21,Hombre,Otro Municipio,Entre 46 y 55 años,Española,Diseñadores gráficos y multimedia
7740,may-21,Hombre,Latina,Menor de 25 años,Española,Bañistas-socorristas
7743,may-21,Hombre,Otro Municipio,Entre 26 y 35 años,Española,Bañistas-socorristas
7744,may-21,Hombre,Salamanca,Menor de 25 años,Española,Bañistas-socorristas
7745,may-21,Mujer,Fuencarral-el Pardo,Entre 36 y 45 años,Española,Operadores de telemarketing
7749,may-21,Hombre,Arganzuela,Entre 46 y 55 años,Española,Vendedores en tiendas y almacenes
7756,may-21,Mujer,Moratalaz,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
7759,may-21,Hombre,Latina,Entre 46 y 55 años,Española,Ayudantes de cocina
7761,may-21,Mujer,Puente De Vallecas,Entre 56 y 65 años,Extracomunitaria,Ayudantes de cocina
7765,may-21,Hombre,Centro,Menor de 25 años,Extracomunitaria,Limpiadores de vehículos
7772,may-21,Mujer,Fuencarral-el Pardo,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
7776,may-21,Mujer,Usera,Entre 46 y 55 años,Española,Auxiliares de enfermería hospitalaria
7779,may-21,Hombre,Carabanchel,Entre 56 y 65 años,Española,Asistentes de dirección y administrativos
7780,may-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
7788,may-21,Mujer,Tetuán,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
7795,may-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Española,Ayudantes de cocina
7799,may-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Extracomunitaria,Ayudantes de cocina
7807,may-21,Hombre,Ciudad Lineal,Menor de 25 años,Española,Ayudantes de cocina
7809,may-21,Mujer,Hortaleza,Menor de 25 años,Extracomunitaria,Ayudantes de cocina
7810,may-21,Hombre,Latina,Menor de 25 años,Española,Bañistas-socorristas
7812,may-21,Mujer,Ciudad Lineal,Entre 46 y 55 años,Española,Vendedores en tiendas y almacenes
7814,may-21,Mujer,Moncloa-aravaca,Entre 36 y 45 años,Española,Profesionales de la publicidad y la comercialización
7818,may-21,Mujer,Arganzuela,Entre 46 y 55 años,Española,Ayudantes de cocina
7823,may-21,Hombre,Carabanchel,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7832,may-21,Mujer,Chamartín,Entre 56 y 65 años,Española,Profesionales de la publicidad y la comercialización
7833,may-21,Mujer,Arganzuela,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
7835,may-21,Mujer,Latina,Entre 46 y 55 años,Española,Ayudantes de cocina
7836,may-21,Mujer,Usera,Entre 26 y 35 años,Comunitaria,Recepcionistas de hoteles
7838,may-21,Mujer,Ciudad Lineal,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
7843,may-21,Hombre,Moncloa-aravaca,Menor de 25 años,Extracomunitaria,Ayudantes de cocina
7844,may-21,Mujer,Usera,Entre 26 y 35 años,Española,Asistentes de dirección y administrativos
7848,may-21,Hombre,Puente De Vallecas,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
7862,may-21,Hombre,Fuencarral-el Pardo,Menor de 25 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
7863,may-21,Mujer,Latina,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
7864,may-21,Mujer,Hortaleza,Menor de 25 años,Española,Asistentes de dirección y administrativos
7868,may-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
7880,may-21,Hombre,Latina,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
7881,may-21,Mujer,Ciudad Lineal,Entre 46 y 55 años,Española,Empleados de agencias de viajes
7890,may-21,Hombre,Carabanchel,Entre 36 y 45 años,Española,Empleados de control de personal y nóminas
7892,may-21,Hombre,Puente De Vallecas,Entre 36 y 45 años,Comunitaria,Analistas de gestión y organización
7893,may-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Profesionales de la publicidad y la comercialización
7898,may-21,Mujer,Centro,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
7900,jun-21,Hombre,Fuencarral-el Pardo,Entre 36 y 45 años,Extracomunitaria,Técnicos en imagen para el diagnóstico
7903,jun-21,Mujer,Carabanchel,Entre 26 y 35 años,Española,Empleados de contabilidad
7906,may-21,Mujer,Moratalaz,Entre 56 y 65 años,Española,Operadores de máquinas de coser y bordar
7911,may-21,Hombre,Fuencarral-el Pardo,Entre 36 y 45 años,Extracomunitaria,Peluqueros
7912,may-21,Mujer,Salamanca,Entre 26 y 35 años,Española,Profesionales de la publicidad y la comercialización
7930,may-21,Mujer,Villaverde,Entre 46 y 55 años,Española,Técnicos de emergencias sanitarias
7936,may-21,Mujer,Otro Municipio,Entre 56 y 65 años,Española,Asistentes de dirección y administrativos
7937,may-21,Mujer,Fuencarral-el Pardo,Entre 36 y 45 años,Extracomunitaria,Asistentes de dirección y administrativos
7939,may-21,Mujer,Latina,Entre 26 y 35 años,Extracomunitaria,Asistentes de dirección y administrativos
7945,may-21,Mujer,Carabanchel,Entre 26 y 35 años,Extracomunitaria,Empleados de control de personal y nóminas
7950,may-21,Hombre,Otro Municipio,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
7952,may-21,Mujer,Ciudad Lineal,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7953,may-21,Mujer,Carabanchel,Entre 56 y 65 años,Extracomunitaria,Ayudantes de cocina
7957,may-21,Hombre,Otro Municipio,Entre 26 y 35 años,Española,Asistentes de dirección y administrativos
7958,may-21,Hombre,Usera,Entre 56 y 65 años,Española,Vendedores en tiendas y almacenes
7960,may-21,Mujer,Carabanchel,Entre 26 y 35 años,Extracomunitaria,Ayudantes de cocina
7962,may-21,Mujer,Puente De Vallecas,Entre 56 y 65 años,Española,Vendedores en tiendas y almacenes
7965,may-21,Mujer,Usera,Entre 46 y 55 años,Española,Diseñadores gráficos y multimedia
7966,may-21,Mujer,Fuencarral-el Pardo,Entre 36 y 45 años,Española,Empleados de control de personal y nóminas
7970,may-21,Hombre,Arganzuela,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7973,may-21,Hombre,Moncloa-aravaca,Entre 36 y 45 años,Española,Diseñadores gráficos y multimedia
7974,may-21,Mujer,Arganzuela,Entre 26 y 35 años,Española,Auxiliares de enfermería hospitalaria
7975,may-21,Mujer,Otro Municipio,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7981,may-21,Mujer,Usera,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
7982,may-21,Mujer,Barajas,Entre 36 y 45 años,Española,Ingenieros técnicos en telecomunicaciones
7987,may-21,Mujer,Carabanchel,Menor de 25 años,Española,Peluqueros
7989,may-21,Mujer,Chamberí,Entre 36 y 45 años,Española,Técnicos de emergencias sanitarias
7990,may-21,Mujer,Latina,Entre 26 y 35 años,Extracomunitaria,Ayudantes de cocina
7991,may-21,Mujer,Ciudad Lineal,Entre 46 y 55 años,Española,Ayudantes de cocina
7993,may-21,Mujer,Otro Municipio,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7996,may-21,Mujer,Otro Municipio,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
7997,may-21,Mujer,Otro Municipio,Menor de 25 años,Española,Bañistas-socorristas
7998,may-21,Mujer,Puente De Vallecas,Menor de 25 años,Española,Vendedores en tiendas y almacenes
7999,may-21,Mujer,Otro Municipio,Menor de 25 años,Española,Auxiliares de enfermería hospitalaria
8001,may-21,Mujer,Carabanchel,Entre 36 y 45 años,Española,Profesionales de la publicidad y la comercialización
8002,may-21,Mujer,Salamanca,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
8003,may-21,Mujer,Arganzuela,Menor de 25 años,Española,Vendedores en tiendas y almacenes
8004,may-21,Mujer,Fuencarral-el Pardo,Menor de 25 años,Española,Auxiliares de enfermería hospitalaria
8005,may-21,Mujer,Retiro,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
8006,may-21,Hombre,Otro Municipio,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
8008,may-21,Mujer,Latina,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
8009,may-21,Hombre,Moncloa-aravaca,Entre 36 y 45 años,Española,Técnicos en imagen para el diagnóstico
8016,may-21,Mujer,Moratalaz,Menor de 25 años,Extracomunitaria,Asistentes de dirección y administrativos
8019,may-21,Mujer,Centro,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
8020,may-21,Hombre,Otro Municipio,Entre 46 y 55 años,Española,Técnicos de emergencias sanitarias
8025,may-21,Mujer,Carabanchel,Menor de 25 años,Española,Vendedores en tiendas y almacenes
8033,may-21,Mujer,Retiro,Entre 36 y 45 años,Extracomunitaria,Asistentes de dirección y administrativos
8034,may-21,Hombre,Ciudad Lineal,Entre 46 y 55 años,Española,Analistas de gestión y organización
8038,may-21,Hombre,Ciudad Lineal,Entre 46 y 55 años,Española,Ayudantes de cocina
8042,may-21,Hombre,Villaverde,Entre 26 y 35 años,Comunitaria,Empleados de control de personal y nóminas
8043,may-21,Mujer,Fuencarral-el Pardo,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
8044,may-21,Mujer,Fuencarral-el Pardo,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
8048,may-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
8051,may-21,Mujer,Centro,Menor de 25 años,Española,Vendedores en tiendas y almacenes
8055,may-21,Mujer,Otro Municipio,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
8057,may-21,Mujer,Salamanca,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
8059,may-21,Mujer,Centro,Entre 36 y 45 años,Española,Técnicos de grabación audiovisual
8065,may-21,Mujer,Ciudad Lineal,Entre 26 y 35 años,Extracomunitaria,Operadores de telemarketing
8069,may-21,Mujer,Vicálvaro,Menor de 25 años,Extracomunitaria,Ayudantes de cocina
8071,may-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Técnicos de emergencias sanitarias
8072,may-21,Mujer,Carabanchel,Entre 36 y 45 años,Española,Auxiliares de enfermería hospitalaria
8075,may-21,Mujer,Villaverde,Menor de 25 años,Española,Vendedores en tiendas y almacenes
8077,may-21,Mujer,Latina,Menor de 25 años,Española,Vendedores en tiendas y almacenes
8080,may-21,Hombre,Moratalaz,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
8081,may-21,Mujer,Puente De Vallecas,Menor de 25 años,Española,Peluqueros
8082,may-21,Mujer,Usera,Menor de 25 años,Española,Peluqueros
8083,may-21,Hombre,Puente De Vallecas,Menor de 25 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
8086,may-21,Hombre,Puente De Vallecas,Entre 36 y 45 años,Extracomunitaria,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
8091,may-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Profesionales de la publicidad y la comercialización
8092,may-21,Hombre,Arganzuela,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
8095,may-21,Mujer,Moratalaz,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
8097,may-21,Mujer,Salamanca,Entre 56 y 65 años,Española,Programadores informáticos
8098,may-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Vendedores en tiendas y almacenes
8103,may-21,Hombre,Otro Municipio,Entre 36 y 45 años,Española,Jefes de sección de tiendas y almacenes
8106,may-21,Mujer,Salamanca,Entre 26 y 35 años,Española,Empleados de agencias de viajes
8111,may-21,Hombre,Arganzuela,Entre 46 y 55 años,Española,Empleados de contabilidad
8112,may-21,Mujer,Retiro,Entre 56 y 65 años,Española,Asistentes de dirección y administrativos
8113,may-21,Hombre,Fuencarral-el Pardo,Entre 56 y 65 años,Extracomunitaria,Empleados de contabilidad
8117,may-21,Hombre,Puente De Vallecas,Entre 46 y 55 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
8121,may-21,Mujer,San Blas,Entre 26 y 35 años,Extracomunitaria,Operadores de telemarketing
8122,may-21,Hombre,Hortaleza,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
8123,may-21,Hombre,Chamberí,Menor de 25 años,Española,Vendedores en tiendas y almacenes
8129,may-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Española,Ayudantes de cocina
8130,may-21,Mujer,Latina,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
8134,may-21,Hombre,Puente De Vallecas,Entre 26 y 35 años,Extracomunitaria,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
8137,may-21,Mujer,San Blas,Menor de 25 años,Española,Vendedores en tiendas y almacenes
8141,may-21,Hombre,San Blas,Entre 26 y 35 años,Comunitaria,Asistentes de dirección y administrativos
8147,may-21,Mujer,San Blas,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
8149,jun-21,Hombre,Otro Municipio,Menor de 25 años,Española,Asistentes de dirección y administrativos
8154,jun-21,Hombre,Carabanchel,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
8155,jun-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
8156,jun-21,Hombre,Latina,Entre 26 y 35 años,Española,Ayudantes de cocina
8159,jun-21,Hombre,Villaverde,Entre 56 y 65 años,Española,Asistentes de dirección y administrativos
8165,jun-21,Mujer,Carabanchel,Entre 36 y 45 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
8166,jun-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Comunitaria,Vendedores en tiendas y almacenes
