,Fecha de Inscripción,Género,Distrito,Tramos de Edad,Nacionalidad,Objetivo Profesional 1
454,ene-21,Mujer,Moratalaz,Entre 36 y 45 años,Extracomunitaria,Asistentes de dirección y administrativos
462,ene-21,Mujer,Latina,Entre 36 y 45 años,Española,Ayudantes de cocina
463,ene-21,Mujer,Chamberí,Entre 46 y 55 años,Española,Empleados de control de personal y nóminas
469,ene-21,Mujer,Puente De Vallecas,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
471,ene-21,Mujer,Ciudad Lineal,Entre 46 y 55 años,Extracomunitaria,Asistentes de dirección y administrativos
488,ene-21,Hombre,Retiro,Entre 26 y 35 años,Española,Diseñadores gráficos y multimedia
490,ene-21,Hombre,Puente De Vallecas,Mayor de 65 años,Española,Mantenedores de edificios
501,ene-21,Mujer,Barajas,Menor de 25 años,Española,Vendedores en tiendas y almacenes
509,ene-21,Mujer,San Blas,Entre 26 y 35 años,Española,Auxiliares de enfermería hospitalaria
511,ene-21,Mujer,Retiro,Menor de 25 años,Española,Vendedores en tiendas y almacenes
512,ene-21,Mujer,San Blas,Menor de 25 años,Extracomunitaria,Peluqueros
513,ene-21,Mujer,Moncloa-aravaca,Menor de 25 años,Española,Vendedores en tiendas y almacenes
516,ene-21,Hombre,Moncloa-aravaca,Entre 26 y 35 años,Extracomunitaria,Peluqueros
524,feb-21,Hombre,Latina,Entre 26 y 35 años,Extracomunitaria,Ayudantes de cocina
528,feb-21,Mujer,Arganzuela,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
533,ene-21,Hombre,Usera,Entre 26 y 35 años,Extracomunitaria,Bañistas-socorristas
534,feb-21,Mujer,Puente De Vallecas,Menor de 25 años,Española,"Especialistas en tratamientos de estética, bienestar y afines"
538,ene-21,Mujer,San Blas,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
540,feb-21,Mujer,Ciudad Lineal,Entre 46 y 55 años,Española,Auxiliares de enfermería hospitalaria
541,feb-21,Mujer,San Blas,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
545,feb-21,Hombre,Tetuán,Entre 36 y 45 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
549,feb-21,Mujer,Arganzuela,Entre 46 y 55 años,Española,Profesionales de la publicidad y la comercialización
561,ene-21,Mujer,Carabanchel,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
564,ene-21,Hombre,Retiro,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
566,ene-21,Hombre,Carabanchel,Entre 46 y 55 años,Extracomunitaria,Ayudantes de cocina
575,ene-21,Hombre,Centro,Entre 46 y 55 años,Extracomunitaria,Vendedores en tiendas y almacenes
582,ene-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Española,Peluqueros
585,ene-21,Hombre,Otro Municipio,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
588,ene-21,Hombre,Arganzuela,Entre 36 y 45 años,Española,Diseñadores gráficos y multimedia
589,ene-21,Hombre,Puente De Vallecas,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
598,ene-21,Mujer,Latina,Entre 56 y 65 años,Española,Auxiliares de enfermería hospitalaria
601,ene-21,Hombre,San Blas,Entre 26 y 35 años,Extracomunitaria,Asistentes de dirección y administrativos
604,ene-21,Hombre,Otro Municipio,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
605,ene-21,Mujer,Hortaleza,Menor de 25 años,Española,Vendedores en tiendas y almacenes
606,ene-21,Hombre,Ciudad Lineal,Menor de 25 años,Española,Programadores informáticos
609,ene-21,Hombre,Otro Municipio,Entre 26 y 35 años,Española,Empleados de contabilidad
611,ene-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
614,ene-21,Hombre,Usera,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
615,ene-21,Mujer,San Blas,Entre 56 y 65 años,Española,Ayudantes de cocina
616,ene-21,Mujer,Usera,Menor de 25 años,Española,Auxiliares de enfermería hospitalaria
627,ene-21,Mujer,Moratalaz,Menor de 25 años,Española,Vendedores en tiendas y almacenes
639,ene-21,Mujer,Carabanchel,Entre 46 y 55 años,Española,Vendedores en tiendas y almacenes
646,ene-21,Mujer,Usera,Entre 26 y 35 años,Española,Peluqueros
649,ene-21,Mujer,Latina,Menor de 25 años,Española,Vendedores en tiendas y almacenes
651,ene-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
656,ene-21,Hombre,Fuencarral-el Pardo,Menor de 25 años,Española,Vendedores en tiendas y almacenes
657,ene-21,Mujer,Villaverde,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
658,ene-21,Mujer,Salamanca,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
659,ene-21,Hombre,Villaverde,Menor de 25 años,Española,Vendedores en tiendas y almacenes
662,ene-21,Hombre,Latina,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
667,ene-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
668,ene-21,Hombre,Puente De Vallecas,Menor de 25 años,Comunitaria,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
673,ene-21,Mujer,Chamberí,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
680,ene-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
681,ene-21,Hombre,San Blas,Entre 46 y 55 años,Española,Técnicos de grabación audiovisual
683,ene-21,Mujer,Otro Municipio,Entre 36 y 45 años,Comunitaria,Vendedores en tiendas y almacenes
694,ene-21,Mujer,Tetuán,Entre 56 y 65 años,Española,Asistentes de dirección y administrativos
705,ene-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
709,ene-21,Hombre,Tetuán,Entre 26 y 35 años,Comunitaria,Asistentes de dirección y administrativos
712,ene-21,Mujer,Hortaleza,Entre 36 y 45 años,Española,"Especialistas en tratamientos de estética, bienestar y afines"
715,ene-21,Mujer,Carabanchel,Entre 36 y 45 años,Española,Auxiliares de enfermería hospitalaria
721,ene-21,Mujer,Carabanchel,Menor de 25 años,Española,Peluqueros
722,ene-21,Mujer,Carabanchel,Entre 56 y 65 años,Española,Asistentes de dirección y administrativos
727,ene-21,Hombre,Moratalaz,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
728,ene-21,Mujer,Latina,Entre 36 y 45 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
731,ene-21,Mujer,Tetuán,Entre 46 y 55 años,Extracomunitaria,Peluqueros
733,ene-21,Mujer,Moratalaz,Entre 26 y 35 años,Extracomunitaria,Profesionales de la publicidad y la comercialización
740,ene-21,Mujer,Fuencarral-el Pardo,Entre 56 y 65 años,Española,Vendedores en tiendas y almacenes
747,ene-21,Mujer,Salamanca,Entre 26 y 35 años,Española,Diseñadores gráficos y multimedia
748,ene-21,Mujer,Tetuán,Entre 26 y 35 años,Española,Ayudantes de cocina
750,ene-21,Mujer,Vicálvaro,Menor de 25 años,Española,Diseñadores gráficos y multimedia
754,ene-21,Hombre,Latina,Entre 26 y 35 años,Extracomunitaria,Peluqueros
756,ene-21,Mujer,Otro Municipio,Entre 46 y 55 años,Extracomunitaria,Asistentes de dirección y administrativos
758,ene-21,Hombre,Moratalaz,Entre 46 y 55 años,Española,Vendedores en tiendas y almacenes
760,ene-21,Hombre,Otro Municipio,Entre 56 y 65 años,Española,Programadores informáticos
768,ene-21,Hombre,Puente De Vallecas,Entre 36 y 45 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
772,ene-21,Mujer,Chamberí,Entre 26 y 35 años,Española,"Especialistas en tratamientos de estética, bienestar y afines"
775,ene-21,Mujer,Arganzuela,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
785,ene-21,Hombre,Otro Municipio,Entre 46 y 55 años,Española,Trabajadores de procesos de encuadernación
788,ene-21,Hombre,Retiro,Entre 46 y 55 años,Española,Técnicos de grabación audiovisual
790,ene-21,Hombre,Hortaleza,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
794,ene-21,Mujer,Ciudad Lineal,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
796,ene-21,Hombre,Latina,Entre 26 y 35 años,Española,Técnicos en laboratorio de diagnóstico clínico
797,ene-21,Mujer,Usera,Entre 26 y 35 años,Española,"Especialistas en tratamientos de estética, bienestar y afines"
809,ene-21,Mujer,Centro,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
810,ene-21,Hombre,Latina,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
811,ene-21,Hombre,Villaverde,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
820,ene-21,Hombre,Arganzuela,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
828,feb-21,Hombre,Centro,Entre 26 y 35 años,Extracomunitaria,Ayudantes de cocina
830,feb-21,Mujer,Ciudad Lineal,Menor de 25 años,Española,Ayudantes de cocina
834,feb-21,Hombre,Centro,Entre 26 y 35 años,Extracomunitaria,Directores y gerentes de restaurantes
835,feb-21,Mujer,Vicálvaro,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
839,ene-21,Hombre,Carabanchel,Entre 36 y 45 años,Extracomunitaria,Mantenedores de edificios
841,ene-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
844,ene-21,Hombre,Centro,Entre 26 y 35 años,Extracomunitaria,Preparadores de comidas rápidas
845,ene-21,Mujer,Arganzuela,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
854,ene-21,Hombre,Villaverde,Entre 36 y 45 años,Extracomunitaria,Empleados de contabilidad
859,ene-21,Mujer,Hortaleza,Entre 46 y 55 años,Española,Economistas
861,ene-21,Mujer,San Blas,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
864,ene-21,Mujer,San Blas,Entre 26 y 35 años,Extracomunitaria,Diseñadores gráficos y multimedia
865,ene-21,Mujer,Latina,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
866,ene-21,Hombre,Villaverde,Menor de 25 años,Española,Mecánicos y ajustadores de vehículos de motor
871,ene-21,Mujer,Ciudad Lineal,Entre 46 y 55 años,Española,Peluqueros
878,ene-21,Mujer,Tetuán,Entre 36 y 45 años,Española,Coreógrafos y bailarines
879,ene-21,Hombre,Fuencarral-el Pardo,Entre 26 y 35 años,Extracomunitaria,Técnicos en radioterapia
886,ene-21,Hombre,Latina,Menor de 25 años,Española,Mantenedores de edificios
888,ene-21,Hombre,Otro Municipio,Entre 26 y 35 años,Española,Mantenedores de edificios
893,ene-21,Hombre,Vicálvaro,Entre 26 y 35 años,Extracomunitaria,Asistentes de dirección y administrativos
894,ene-21,Mujer,Latina,Entre 46 y 55 años,Española,"Especialistas en tratamientos de estética, bienestar y afines"
899,feb-21,Mujer,San Blas,Entre 36 y 45 años,Extracomunitaria,Asistentes de dirección y administrativos
901,feb-21,Mujer,Retiro,Entre 46 y 55 años,Extracomunitaria,Asistentes de dirección y administrativos
902,feb-21,Mujer,Villaverde,Entre 36 y 45 años,Española,Auxiliares de enfermería hospitalaria
906,feb-21,Hombre,San Blas,Menor de 25 años,Española,Vendedores en tiendas y almacenes
907,feb-21,Hombre,Fuencarral-el Pardo,Entre 56 y 65 años,Extracomunitaria,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
916,feb-21,Mujer,Arganzuela,Entre 56 y 65 años,Española,Asistentes de dirección y administrativos
918,feb-21,Mujer,Ciudad Lineal,Entre 36 y 45 años,Española,Auxiliares de enfermería hospitalaria
919,feb-21,Mujer,Carabanchel,Entre 46 y 55 años,Española,Ayudantes de cocina
926,feb-21,Mujer,Carabanchel,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
928,feb-21,Mujer,Fuencarral-el Pardo,Entre 36 y 45 años,Extracomunitaria,Peluqueros
935,feb-21,Hombre,Carabanchel,Entre 46 y 55 años,Comunitaria,Montadores y ensambladores no clasificados en otros epígrafes
937,feb-21,Mujer,Carabanchel,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
939,feb-21,Mujer,Hortaleza,Entre 46 y 55 años,Española,Diseñadores gráficos y multimedia
942,feb-21,Mujer,Centro,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
944,feb-21,Hombre,Villa De Vallecas,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
947,feb-21,Hombre,San Blas,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
948,feb-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
949,feb-21,Mujer,Ciudad Lineal,Entre 26 y 35 años,Española,Diseñadores gráficos y multimedia
950,feb-21,Mujer,Retiro,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
952,feb-21,Mujer,Usera,Entre 26 y 35 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
958,feb-21,Hombre,Carabanchel,Entre 46 y 55 años,Española,Montadores y ensambladores no clasificados en otros epígrafes
959,feb-21,Mujer,Otro Municipio,Entre 56 y 65 años,Española,Asistentes de dirección y administrativos
960,feb-21,Mujer,Carabanchel,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
